signal_id,symbol,side,data_source,engine_version,signal_bar_utc,entry_bar_utc,exit_bar_utc,ref_price,entry_price,exit_price,stop_initial,final_trail,r_usdt,callback_pct,bars_held,hours_held,ret_pct,result_R,mae_pct,mfe_pct,mfe_R,giveback_pct,exit_reason,entry_atr14,entry_rsi,entry_rsi_roc,entry_vol_ratio,entry_ema_spread_pct,entry_breakout_margin_pct,signal_to_send_minutes,actual_fill_price,actual_qty,actual_exit_price,actual_pnl,notes
20260903T1200-L,ETHUSDT,long,binance_spot_mirror,mex-fwd-1.1.0,2026-09-03T12:00:00+00:00,2026-09-03T16:00:00+00:00,2026-09-04T12:00:00+00:00,2516.58,2516.58,2484.8599,2455.5099,2484.8599,61.0701,2.4267,5,20.0,-1.2604,-0.5194,-1.1206,1.1953,0.4925,2.4557,trailing_stop,40.655995,67.279767,30.067519,2.6568,0.156945,1.0932,5.0,,,,,
20260911T1200-L,ETHUSDT,long,binance_spot_mirror,mex-fwd-1.1.0,2026-09-11T12:00:00+00:00,2026-09-11T16:00:00+00:00,2026-09-11T20:00:00+00:00,2559.42,2559.43,2512.8732,2489.1144,2512.8732,70.3156,2.7473,1,4.0,-1.819,-0.6621,-1.1889,0.9545,0.3474,2.7735,trailing_stop,46.263015,66.20583,20.434537,5.7757,0.205426,5.6549,7.4,,,,,
20260918T1600-L,ETHUSDT,long,binance_spot_mirror,mex-fwd-1.1.0,2026-09-18T16:00:00+00:00,2026-09-18T20:00:00+00:00,2026-09-20T00:00:00+00:00,2636.71,2636.71,2601.8677,2571.3533,2601.8677,65.3567,2.4787,7,28.0,-1.3214,-0.5331,-1.2808,1.1867,0.4788,2.5081,trailing_stop,44.462778,75.735983,27.257226,1.8106,0.354773,1.8609,5.7,,,,,
20260921T0000-L,ETHUSDT,long,binance_spot_mirror,mex-fwd-2.0.0,2026-09-21T00:00:00+00:00,2026-09-21T04:00:00+00:00,2026-09-22T00:00:00+00:00,2665.95,2665.95,2744.506,2606.2806,2744.506,59.6694,2.2382,5,20.0,2.9466,1.3165,-0.7266,5.3036,2.3696,2.3569,trailing_stop,40.368824,69.444146,13.395881,1.9196,1.972785,1.488,1.6,,,,,
20260921T0800-L,DOGEUSDT,long,binance_spot_mirror,mex-fwd-2.0.0,2026-09-21T08:00:00+00:00,2026-09-21T12:00:00+00:00,2026-09-22T00:00:00+00:00,0.0934,0.0934,0.0983,0.0898,0.0983,0.0035,3.771,3,12.0,5.2366,1.3887,-1.1995,9.3606,2.4823,4.124,trailing_stop,0.002072,74.03548,21.6378,3.2044,1.784673,3.8643,1.7,,,,,
20260921T0800-L,XRPUSDT,long,binance_spot_mirror,mex-fwd-2.0.0,2026-09-21T08:00:00+00:00,2026-09-21T12:00:00+00:00,2026-09-22T00:00:00+00:00,1.4856,1.4856,1.5229,1.4371,1.5229,0.0485,3.2628,3,12.0,2.5131,0.7702,-0.9424,5.9707,1.8299,3.4576,trailing_stop,0.031893,72.128862,17.54265,2.541,1.573708,3.0541,1.7,,,,,
20260921T0800-L,SOLUSDT,long,binance_spot_mirror,mex-fwd-2.0.0,2026-09-21T08:00:00+00:00,2026-09-21T12:00:00+00:00,2026-09-22T00:00:00+00:00,116.8,116.8,116.5372,113.439,116.5372,3.361,2.8776,3,12.0,-0.225,-0.0782,-0.5137,2.7312,0.9491,2.9562,trailing_stop,2.186103,76.394037,18.915729,2.2633,3.239792,2.5017,1.7,,,,,
